client_id,relationship_type,monthly_income,bill_amount,minimum_payment,days_to_due,dias_em_atraso,credit_limit,available_limit,cash_purchases,installment_purchases,interest_installments,previous_balance,fees,previous_bill_amount,previous_payment_amount,previous_revolving,consecutive_partial_payments,has_active_installment,has_active_renegotiation,eligible_bill_installment,eligible_personal_loan
11111111111,profissional_liberal,4500.0,2000.0,300.0,5,0,6000.0,4000.0,1200.0,800.0,0.0,0.0,0.0,1800.0,1800.0,False,0,False,False,True,True
22222222222,clt_privado,4800.0,1900.0,285.0,5,0,6500.0,4600.0,1000.0,900.0,0.0,0.0,0.0,1750.0,1750.0,False,0,False,False,True,True
33333333333,servidor_publico,6000.0,2500.0,375.0,12,0,8000.0,5500.0,1500.0,1000.0,0.0,0.0,0.0,2200.0,2200.0,False,0,False,False,True,True
44444444444,aposentado_inss,3200.0,1500.0,225.0,8,0,4000.0,2500.0,900.0,600.0,0.0,0.0,0.0,1400.0,1400.0,False,0,False,False,True,True
55555555555,informal,5000.0,3000.0,450.0,6,0,7000.0,4000.0,1800.0,1200.0,0.0,0.0,0.0,2600.0,2600.0,False,0,False,False,True,True
66666666666,informal,2200.0,1435.0,585.0,5,0,2500.0,900.0,700.0,300.0,250.0,150.0,35.0,1500.0,600.0,True,1,False,False,True,True
77777777777,clt_privado,4300.0,1825.0,295.0,-10,0,5500.0,3675.0,1100.0,700.0,0.0,0.0,25.0,1700.0,1700.0,False,0,False,False,True,True
88888888888,clt_privado,4300.0,2360.0,405.0,-20,0,6000.0,3640.0,1400.0,900.0,0.0,0.0,60.0,2100.0,2100.0,False,0,False,False,True,True
99999999999,clt_privado,3800.0,2200.0,1010.0,-5,75,5000.0,300.0,900.0,500.0,400.0,300.0,100.0,2100.0,300.0,True,3,False,False,False,False
10101010101,profissional_liberal,4200.0,700.0,105.0,6,0,3000.0,2300.0,400.0,300.0,0.0,0.0,0.0,650.0,650.0,False,0,True,True,False,False
